scenario,period,applications,approvals,eligible_approved,ineligible_approved,application_rate,access_rate,exclusion_error,admin_exclusion_error,demand_gap,inclusion_error,avg_trust,avg_info,avg_monitoring,avg_service_quality,avg_congestion,territorial_inequality,delegated_share
delegated,15,324,192,151,41,0.54,0.6213991769547325,0.37860082304526754,0.025806451612903226,0.36213991769547327,0.21354166666666666,0.6777703197136288,0.6752655480936385,0.48506542871012287,0.3164215441344758,1.0384615384615385,0.046275575521142,1.0
delegated,16,303,193,149,44,0.505,0.6131687242798354,0.3868312757201646,0.019736842105263157,0.37448559670781895,0.22797927461139897,0.6901918611203219,0.6851691248942294,0.4914932719406146,0.3156765647984833,0.9711538461538461,0.059838509552684674,1.0
delegated,17,327,198,163,35,0.545,0.6707818930041153,0.3292181069958847,0.05232558139534884,0.29218106995884774,0.17676767676767677,0.703924165534962,0.6952983759885253,0.4801578797791568,0.31168510348550665,1.0480769230769231,0.07285111592372352,1.0
delegated,18,340,200,167,33,0.5666666666666667,0.6872427983539094,0.31275720164609055,0.029069767441860465,0.29218106995884774,0.165,0.7186011877501848,0.704817064509398,0.47471137039170735,0.3082954263729803,1.0897435897435896,0.03022875095979645,1.0
delegated,19,346,196,159,37,0.5766666666666667,0.654320987654321,0.345679012345679,0.03636363636363636,0.32098765432098764,0.18877551020408162,0.7315895132682385,0.7133164890628751,0.47330430253234734,0.3047828490828415,1.1089743589743588,0.03986540916212664,1.0
delegated,20,355,196,166,30,0.5916666666666667,0.6831275720164609,0.3168724279835391,0.023529411764705882,0.3004115226337449,0.15306122448979592,0.7452619953595035,0.7213328833266732,0.4690881980644592,0.30183534626488956,1.1378205128205128,0.07217677850376178,1.0
delegated,21,354,197,166,31,0.59,0.6831275720164609,0.3168724279835391,0.04597701149425287,0.2839506172839506,0.15736040609137056,0.7581562480687855,0.7284505214172515,0.4679100312811655,0.29974361060747157,1.1346153846153846,0.05358054679524172,1.0
delegated,22,347,196,167,29,0.5783333333333334,0.6872427983539094,0.31275720164609055,0.01764705882352941,0.3004115226337449,0.14795918367346939,0.7712650494177934,0.7347383357068751,0.4695730519248496,0.29909098203975054,1.1121794871794872,0.045788384799606584,1.0
delegated,23,369,196,169,27,0.615,0.6954732510288066,0.30452674897119336,0.05056179775280899,0.2674897119341564,0.1377551020408163,0.7837640356945983,0.7410911171777413,0.46053535772317766,0.29598362431249875,1.1826923076923077,0.037273276054307615,1.0
delegated,24,361,197,173,24,0.6016666666666667,0.7119341563786008,0.2880658436213992,0.03888888888888889,0.25925925925925924,0.1218274111675127,0.7965777084614378,0.7469591329987121,0.46234835319646067,0.294750360102586,1.157051282051282,0.02037590632656139,1.0
delegated,25,332,196,163,33,0.5533333333333333,0.6707818930041153,0.3292181069958847,0.018072289156626505,0.3168724279835391,0.1683673469387755,0.8077955178148568,0.7521806623203581,0.4725904637326856,0.2967595069084719,1.064102564102564,0.0646483266937666,1.0
delegated,26,393,196,174,22,0.655,0.7160493827160493,0.28395061728395066,0.09375,0.20987654320987653,0.11224489795918367,0.8178065157627922,0.7573567979845779,0.4502189874948119,0.2913586950058532,1.2596153846153846,0.033304163135970496,1.0
delegated,27,375,196,179,17,0.625,0.7366255144032922,0.26337448559670784,0.05789473684210526,0.21810699588477367,0.08673469387755102,0.8280517703315511,0.7623873485503218,0.455041746737007,0.2898274186898225,1.2019230769230769,0.04556721826529563,1.0
delegated,28,365,192,163,29,0.6083333333333333,0.6707818930041153,0.3292181069958847,0.023952095808383235,0.31275720164609055,0.15104166666666666,0.8367524680871812,0.7667349758129545,0.46008494451209875,0.2902404928952816,1.169871794871795,0.0517365354893012,1.0
delegated,29,366,197,167,30,0.61,0.6872427983539094,0.31275720164609055,0.05649717514124294,0.2716049382716049,0.15228426395939088,0.8448436505454574,0.7715602425303796,0.4583359938328957,0.2900120405773636,1.1730769230769231,0.027409386429553418,1.0
delegated,30,382,196,178,18,0.6366666666666667,0.7325102880658436,0.2674897119341564,0.011111111111111112,0.25925925925925924,0.09183673469387756,0.855020321899627,0.7769760642202865,0.4516966642098013,0.2878178900229026,1.2243589743589742,0.04536321273063276,1.0
delegated,31,403,195,177,18,0.6716666666666666,0.7283950617283951,0.2716049382716049,0.053475935828877004,0.23045267489711935,0.09230769230769231,0.8634991200662603,0.7817610674227957,0.44421082107504745,0.28409026715486624,1.2916666666666667,0.057198992996030894,1.0
delegated,32,378,196,174,22,0.63,0.7160493827160493,0.28395061728395066,0.027932960893854747,0.26337448559670784,0.11224489795918367,0.8721427562949867,0.7863460834777627,0.4525860232646317,0.2845555024496884,1.2115384615384617,0.07621108988321841,1.0
delegated,33,405,193,172,21,0.675,0.7078189300411523,0.29218106995884774,0.06521739130434782,0.24279835390946503,0.10880829015544041,0.8789219912602274,0.7903995661164387,0.4428108476386985,0.2816581694225113,1.2980769230769231,0.0586087210991565,1.0
delegated,34,390,194,171,23,0.65,0.7037037037037037,0.2962962962962963,0.0446927374301676,0.26337448559670784,0.11855670103092783,0.885674456375143,0.7945529357036375,0.44787561959926664,0.28136018577689575,1.25,0.08583447840925651,1.0
delegated,35,407,193,171,22,0.6783333333333333,0.7037037037037037,0.2962962962962963,0.07065217391304347,0.24279835390946503,0.11398963730569948,0.891456340465154,0.7987459897521892,0.4416265273484274,0.2790622994260797,1.3044871794871795,0.05724510186730655,1.0
delegated,36,398,193,173,20,0.6633333333333333,0.7119341563786008,0.2880658436213992,0.08947368421052632,0.21810699588477367,0.10362694300518134,0.8969286127217609,0.8028094772144493,0.44393568437214026,0.2784000562946192,1.2756410256410255,0.056854096429374015,1.0
delegated,37,366,191,165,26,0.61,0.6790123456790124,0.32098765432098764,0.06779661016949153,0.2716049382716049,0.13612565445026178,0.901483598068587,0.8063156435235473,0.4545004279298237,0.2816042104331472,1.1730769230769231,0.04577713219320731,1.0
delegated,38,410,194,177,17,0.6833333333333333,0.7283950617283951,0.2716049382716049,0.08290155440414508,0.205761316872428,0.08762886597938144,0.9067571705116931,0.8104352009381132,0.43864319322507855,0.2784453257057114,1.314102564102564,0.05187968901657143,1.0
delegated,39,402,192,168,24,0.67,0.691358024691358,0.308641975308642,0.10160427807486631,0.23045267489711935,0.125,0.9104337340631501,0.8137350985015871,0.4420371705888839,0.27740820456384646,1.2884615384615385,0.05270602346577959,1.0
adaptive,0,208,117,93,24,0.3466666666666667,0.38271604938271603,0.617283950617284,0.0,0.6172839506172839,0.20512820512820512,0.5303300198082638,0.4690666916087537,0.7305935936039006,0.5583119427010919,0.6666666666666666,0.10523617832969305,0.0
adaptive,1,215,120,99,21,0.35833333333333334,0.4074074074074074,0.5925925925925926,0.0,0.5925925925925926,0.175,0.5363203362906792,0.4819607152548398,0.7270095300830374,0.5418591636538287,0.6891025641025642,0.07975813660689807,0.0
