seed,scenario,applications_final,approvals_final,eligible_approved_final,ineligible_approved_final,access_rate_final,exclusion_error_final,inclusion_error_final,avg_trust_final,avg_info_final,avg_monitoring_final,avg_service_quality_final,avg_congestion_final,territorial_inequality_final,delegated_share_final,access_rate_mean,exclusion_error_mean,admin_exclusion_error_mean,demand_gap_mean,inclusion_error_mean,avg_trust_mean,avg_info_mean,avg_monitoring_mean,avg_service_quality_mean,avg_congestion_mean,territorial_inequality_mean,delegated_share_mean
11,adaptive,382,196,169,27,0.7612612612612613,0.2387387387387387,0.1377551020408163,0.8817145672781034,0.7886231035040723,0.4813595107979858,0.343135294813262,1.2243589743589742,0.0596867563421545,0.8333333333333334,0.5921171171171171,0.4078828828828829,0.0008860391182126,0.4072072072072072,0.1418312910093608,0.695081948271039,0.6603233849637368,0.6560842382027419,0.4588495617413924,0.9565705128205128,0.0649068492875259,0.1666666666666666
12,hierarchy,415,201,186,15,0.75,0.25,0.0746268656716417,0.90970535658167,0.8152370217051045,0.6282976877865386,0.4320716189492588,1.330128205128205,0.0751698391678179,0.0,0.6134072580645161,0.3865927419354839,0.0096151124987236,0.3795362903225806,0.1049926543546595,0.7230840760163947,0.6820113345218568,0.6765805870733487,0.4699840644313638,1.009775641025641,0.0671615629416704,0.0
12,delegated,395,195,166,29,0.6693548387096774,0.3306451612903226,0.1487179487179487,0.909319483336352,0.8186888730230348,0.4449042071932118,0.2837253505737514,1.2660256410256412,0.0610996799343682,1.0,0.6141129032258064,0.3858870967741935,0.0455472377259124,0.3527217741935484,0.1993577446049632,0.7388350855997415,0.6904177433695005,0.4791227762894182,0.332194788808892,1.062740384615385,0.0605568839758451,1.0
12,adaptive,403,181,166,15,0.6693548387096774,0.3306451612903226,0.0828729281767955,0.8940278879476639,0.8123139720097782,0.5068121965237161,0.3457056005182239,1.2916666666666667,0.0587744559352275,1.0,0.5809475806451613,0.4190524193548387,0.0308710989999778,0.3964717741935484,0.1138592658622209,0.7147216395446578,0.6776511382301811,0.6312906806896509,0.4450655329636643,0.9989583333333334,0.0800558289257259,0.275
13,hierarchy,407,209,196,13,0.7538461538461538,0.2461538461538461,0.062200956937799,0.9068079404309842,0.8246855246471353,0.6309942286011042,0.4242725025456745,1.3044871794871795,0.1221269380938802,0.0,0.5909615384615384,0.4090384615384616,0.0023615049905168,0.4073076923076922,0.1080895634915636,0.7114252665390464,0.6806620557782845,0.6797323409398366,0.4613705063322554,0.9870192307692308,0.0744795294573472,0.0
13,delegated,388,190,169,21,0.65,0.35,0.1105263157894736,0.900655291131565,0.8275372034039162,0.4471963247024343,0.2734942231628315,1.2435897435897434,0.0503971713756483,1.0,0.5744230769230769,0.425576923076923,0.0453847977081074,0.3936538461538461,0.1918928630181086,0.718499773233117,0.6871011863924772,0.4849569658626839,0.3191968581265435,1.0229166666666667,0.0584232081247124,1.0
13,adaptive,402,179,166,13,0.6384615384615384,0.3615384615384616,0.0726256983240223,0.8923191673336227,0.8245087758867025,0.475711083546194,0.3116885503396394,1.2884615384615383,0.0839271450383197,0.8333333333333334,0.5792307692307692,0.4207692307692308,0.0306139363736514,0.3981730769230769,0.103439670034368,0.7154431865581737,0.6831890687706379,0.62749194161058,0.4326449511934824,0.9896634615384616,0.0734860685041041,0.2916666666666667
14,hierarchy,382,187,169,18,0.7544642857142857,0.2455357142857143,0.0962566844919786,0.8964770100983581,0.7927718269792369,0.6392571643678441,0.4374978334317372,1.2243589743589742,0.0589032980779861,0.0,0.6087053571428571,0.3912946428571429,0.0,0.3912946428571428,0.1233763693734423,0.7072847587464467,0.6633932498193795,0.6827439178846461,0.4705976823559328,0.954727564102564,0.0642010784289019,0.0
14,delegated,385,192,156,36,0.6964285714285714,0.3035714285714286,0.1875,0.9005567903578318,0.7957530692702787,0.4488625037662005,0.2794772221457313,1.233974358974359,0.0495794533305322,1.0,0.6203125,0.3796875,0.0100596684410742,0.3723214285714286,0.2433636796593378,0.7162092430768168,0.667411191648132,0.486557714353984,0.3269243349942959,1.0044871794871797,0.064224400271381,1.0
14,adaptive,390,192,166,26,0.7410714285714286,0.2589285714285714,0.1354166666666666,0.8839344804738043,0.7907440203298699,0.4787993213089558,0.3429621505940879,1.25,0.0303880521311338,1.0,0.5877232142857143,0.4122767857142856,0.0011712189647743,0.4113839285714286,0.1368943184790778,0.6928399635557038,0.6576354606880649,0.6577415170763791,0.4595446775029462,0.9443910256410256,0.0631231641381002,0.1708333333333333
